Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2000,4.44,7.02,-7.64,-7.98,-1.86,6.59,-9.42,4.6,-8.78,-7.78,8.13,-0.36,-14.65
2001,8.56,-1.48,-15.04,-2,3.79,-5.14,-3.16,-1.78,-13.28,6.35,9.8,-0.76,-16.18
2002,1.54,6.2,-1.09,-3.99,-5.14,2.82,-9.35,5.39,-4.7,-1.22,10.38,4.13,3.25
2003,-4.72,2.07,-8.01,-4.51,7.79,12.65,4.56,14.39,4.46,9.79,3.81,16.38,71.9
2004,-3.72,-0.52,-1.58,1.37,-17.4,1.48,8.42,-0.03,6.97,2.37,9.62,6.21,10.68
2005,-1.1,2.22,-3.21,-6.54,9.73,6.37,4.13,3.13,9.09,-8.86,11.86,6.95,36.34
2006,5.8,2.45,10.66,4.56,-13.68,1.86,0.48,8.61,5.11,4.34,5.62,0.3,39.83
2007,2.93,-8.26,2.04,6.97,5.09,0.52,4.88,-1.43,12.49,17.51,-2.34,6.52,54.77
2008,-16.31,1.67,-9.36,9.11,-5.73,-17.03,7.24,0.62,-10.06,-26.41,-4.52,7.41,-51.79
2009,-2.85,-3.87,9.31,15,28.07,-3.55,8.05,0.55,9.05,-7.32,6.81,3.35,75.76
2010,-6.13,0.82,6.64,0.55,-3.63,4.45,1.04,0.65,11.62,-0.2,-2.58,4.64,17.95
2011,-10.25,-3.14,9.38,-1.44,-3.29,1.57,-2.93,-8.77,-1.15,7.76,-9.28,-4.3,-24.62
2012,12.43,3.58,-1.66,-0.9,-6.17,7.2,-0.95,0.56,8.46,-1.47,4.63,0.43,27.7
2013,2.2,-5.66,-0.18,4.36,0.94,-2.4,-1.72,-4.71,4.82,9.83,-1.95,2.07,6.76
2014,-3.4,3.08,6.81,-0.12,7.97,5.28,1.44,3.02,0.13,4.49,3.2,-3.56,31.39
2015,6.35,1.06,-4.62,-3.65,3.08,-0.77,1.96,-6.58,-0.28,1.47,-1.62,0.14,-4.06
2016,-4.82,-7.62,10.75,1.44,3.95,1.56,4.23,1.71,-1.99,0.17,-4.65,-0.47,3.01
2017,4.59,3.72,3.31,1.42,3.41,-1.04,5.84,-1.58,-1.3,5.59,-1.05,2.97,28.65
2018,4.72,-4.85,-3.61,6.19,-0.03,-0.2,5.99,2.85,-6.42,-4.98,4.72,-0.13,3.15
2019,-0.29,-0.36,7.7,1.07,1.49,-1.12,-5.69,-0.85,4.09,3.51,1.5,0.93,12.02
2020,-1.7,-6.36,-23.25,14.68,-2.84,7.53,7.49,2.84,-1.23,3.51,11.39,7.81,14.9
2021,-2.48,6.56,1.11,-0.41,6.5,0.89,0.26,8.69,2.77,0.37,-3.89,2.18,24.12
2022,-0.09,-3.46,4.33,-2.07,-3.03,-4.85,8.73,3.5,-3.75,5.37,4.14,-3.48,4.32
2023,-2.45,-2.03,0.32,4.06,2.6,3.53,2.94,-2.53,2,-2.84,5.52,7.94,19.42
